knummer_fra;kommunenavn_fra;kommunenr_2020;kommune_2020
1851;Lødingen;1851;Lødingen
1853;Evenes - Evenássi;1853;Evenes - Evená??i
1849;Hamarøy - Hábmer (-2019);1875;Hábmer - Hamarøy
1852;Tjeldsund (1909-2019);5412;Dielddanuorri - Tjeldsund
1854;Ballangen (1925-2019);1806;Narvik
1856;Røst;1856;Røst
1857;Værøy;1857;Værøy
1859;Flakstad;1859;Flakstad
1860;Vestvågøy;1860;Vestvågøy
1865;Vågan;1865;Vågan
1108;Sandnes;1108;Sandnes
1866;Hadsel;1866;Hadsel
1867;Bø (Nordland);1867;Bø
1868;Øksnes;1868;Øksnes
1870;Sortland - Suortá;1870;Sortland - Suortá
1871;Andøy;1871;Andøy
1874;Moskenes;1874;Moskenes
1902;Tromsø (-2019);5401;Tromsø
1903;Harstad - Hárstták (2013-2019);5402;Harstad - Hárstták
1911;Kvæfjord (-2019);5411;Kvæfjord
1913;Skånland (1926-2019);5412;Dielddanuorri - Tjeldsund
1917;Ibestad (-2019);5413;Ibestad
1919;Gratangen (1926-2019);5414;Gratangen
1920;Loabák - Lavangen (1907-2019);5415;Loabák - Lavangen
1922;Bardu (-2019);5416;Bardu
1923;Salangen (1977-2019);5417;Salangen
1924;Målselv (-2019);5418;Målselv
1925;Sørreisa (-2019);5419;Sørreisa
1926;Dyrøy (-2019);5420;Dyrøy
1927;Tranøy (-2019);5421;Senja
1928;Torsken (-2019);5421;Senja
4601;Bergen;4601;Bergen
1929;Berg (-2019);5421;Senja
4602;Kinn;4602;Kinn
1931;Lenvik (-2019);5421;Senja
4611;Etne;4611;Etne
1933;Balsfjord (-2019);5422;Balsfjord
4612;Sveio;4612;Sveio
1936;Karlsøy (-2019);5423;Karlsøy
4613;Bømlo;4613;Bømlo
1938;Lyngen (-2019);5424;Lyngen
4614;Stord;4614;Stord
1939;Storfjord - Omasvuotna - Omasvuono (1931-2019);5425;Storfjord - Omasvuotna - Omasvuono
4615;Fitjar;4615;Fitjar
1940;Gáivuotna - Kåfjord - Kaivuono (1931-2019);5426;Gáivuotna - Kåfjord - Kaivuono
4616;Tysnes;4616;Tysnes
1941;Skjervøy (-2019);5427;Skjervøy
4617;Kvinnherad;4617;Kvinnherad
1942;Nordreisa - Ráisa - Raisi (-2019);5428;Nordreisa - Ráisa - Raisi
4618;Ullensvang;4618;Ullensvang
1943;Kvænangen (-2019);5429;Kvænangen
4619;Eidfjord;4619;Eidfjord
2002;Vardø (-2019);5404;Vardø
4620;Ulvik;4620;Ulvik
2003;Vadsø (-2019);5405;Vadsø
4621;Voss;4621;Voss
2004;Hammerfest (1992-2019);5406;Hammerfest - Hámmerfeasta
4622;Kvam;4622;Kvam
2011;Guovdageaidnu - Kautokeino (-2019);5430;Guovdageaidnu - Kautokeino
4623;Samnanger;4623;Samnanger
2012;Alta (-2019);5403;Alta
4624;Bjørnafjorden;4624;Bjørnafjorden
2014;Loppa (-2019);5432;Loppa
4625;Austevoll;4625;Austevoll
2015;Hasvik (-2019);5433;Hasvik
4626;Øygarden;4626;Øygarden
2017;Kvalsund (-2019);5406;Hammerfest - Hámmerfeasta
4627;Askøy;4627;Askøy
2018;Måsøy (-2019);5434;Måsøy
4628;Vaksdal;4628;Vaksdal
2019;Nordkapp (-2019);5435;Nordkapp
4629;Modalen;4629;Modalen
2020;Porsanger - Porsángu - Porsanki (1964-2019);5436;Porsanger - Porsángu - Porsanki
4630;Osterøy;4630;Osterøy
2021;Kárásjohka - Karasjok (-2019);5437;Kárá?johka - Karasjok
4631;Alver;4631;Alver
2022;Lebesby (-2019);5438;Lebesby
4632;Austrheim;4632;Austrheim
2023;Gamvik (1914-2019);5439;Gamvik
4633;Fedje;4633;Fedje
2024;Berlevåg (1914-2019);5440;Berlevåg
4634;Masfjorden;4634;Masfjorden
2025;Deatnu - Tana (-2019);5441;Deatnu - Tana
4635;Gulen;4635;Gulen
2027;Unjárga - Nesseby (-2019);5442;Unjárga - Nesseby
4636;Solund;4636;Solund
2028;Båtsfjord (1955-2019);5443;Båtsfjord
4637;Hyllestad;4637;Hyllestad
2030;Sør-Varanger (-2019);5444;Sør-Varanger
4638;Høyanger;4638;Høyanger
5001;Trondheim;5001;Trondheim
4639;Vik;4639;Vik
4640;Sogndal;4640;Sogndal
5004;Steinkjer (2018-2019);5006;Steinkjer
4641;Aurland;4641;Aurland
4642;Lærdal;4642;Lærdal
5005;Namsos (2018-2019);5007;Namsos - Nåavmesjenjaelmie
4643;Årdal;4643;Årdal
5011;Hemne (2018-2019);5055;Heim
5012;Snillfjord (2018-2019);5059;Orkland
5013;Hitra (2018-2019);5056;Hitra
5014;Frøya;5014;Frøya
5015;Ørland (2018-2019);5057;Ørland
5016;Agdenes (2018-2019);5059;Orkland
5017;Bjugn (2018-2019);5057;Ørland
5018;Åfjord (2018-2019);5058;Åfjord
5019;Roan (2018-2019);5058;Åfjord
